race_date,race_name,race_type,rider_name,rider_slug,team_name,predicted_score,role_original,role_race,was_swapped_in
2026-04-22,La Fleche Wallonne,World Tour,Marijn van den Berg,marijn-van-den-berg,EF Education-EasyPost,313.3,bus,bench,False
2026-04-22,La Fleche Wallonne,World Tour,Giovanni Lonardi,giovanni-lonardi,Team Polti-Visitmalta,327.3,bus,bench,False
2026-04-22,La Fleche Wallonne,World Tour,Matyas Kopecky,matyas-kopecky,Team Novo Nordisk,354.5,bus,bench,False
2026-04-22,La Fleche Wallonne,World Tour,Diego Pescador,diego-pescador,,242.4,bus,bench,False
2026-04-22,La Fleche Wallonne,World Tour,Filip Orn-Kristoff,filip-orn-kristoff,Uno-X Mobility,150.0,bus,bench,False
2026-04-26,Liege-Bastogne-Liege,Monument,Tadej Pogacar,tadej-pogacar,UAE Team Emirates,332.8,starter,starter,False
2026-04-26,Liege-Bastogne-Liege,Monument,Remco Evenepoel,remco-evenepoel,Soudal Quick-Step,297.6,starter,starter,False
2026-04-26,Liege-Bastogne-Liege,Monument,Mathieu van der Poel,mathieu-van-der-poel,Alpecin-Deceuninck,285.3,starter,starter,False
2026-04-26,Liege-Bastogne-Liege,Monument,Jasper Philipsen,jasper-philipsen,Alpecin-Deceuninck,378.3,starter,bench,False
2026-04-26,Liege-Bastogne-Liege,Monument,Tim Merlier,tim-merlier,Soudal Quick-Step,363.1,starter,bench,False
2026-04-26,Liege-Bastogne-Liege,Monument,Paul Magnier,paul-magnier,Soudal Quick-Step,298.3,starter,bench,False
2026-04-26,Liege-Bastogne-Liege,Monument,Matthew Brennan,matthew-brennan,Team Visma | Lease a Bike,268.1,starter,bench,False
2026-04-26,Liege-Bastogne-Liege,Monument,Hugo Hofstetter,hugo-hofstetter,Israel-Premier Tech,282.7,starter,bench,False
2026-04-26,Liege-Bastogne-Liege,Monument,Christophe Laporte,christophe-laporte,Team Visma | Lease a Bike,311.1,starter,bench,False
2026-04-26,Liege-Bastogne-Liege,Monument,Matteo Trentin,matteo-trentin,Tudor Pro Cycling Team,290.8,starter,bench,False
2026-04-26,Liege-Bastogne-Liege,Monument,Pavel Bittner,pavel-bittner,Team Picnic PostNL,278.4,starter,bench,False
